model_version,source,interval_prob,Year,analyte,treatment,n_events,load_mean,load_low,load_high,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high
v1p7p5,Observed,0.95,2012,TP,MT,7,261.10265,174.11628450000006,380.79201514999994,145992,112863.35,181541.97499999998,1.7884723135514273,1.2056404599243182,2.419241645024056
v1p7p5,Observed,0.95,2012,TP,ST,5,211.98380899999998,90.491884,409.71091699999994,86096,59082.850000000064,118707,2.4621795321501576,1.0594614011787113,4.1225704912533425
v1p7p5,Observed,0.95,2013,TP,CT,5,74.035476,15.977452,161.06253929999997,84140,48014,128438,0.8799082006180177,0.21907327373443755,1.5032205913685754
v1p7p5,Observed,0.95,2013,TP,MT,4,64.156099,29.523076,87.766343,100647,91176,111910,0.6374367740717557,0.31009721519544226,0.8556502887182565
v1p7p5,Observed,0.95,2013,TP,ST,6,23.151475,10.6320651,41.673619,109085,64612,162804.19999999995,0.21223335013979927,0.09741777723992921,0.5118999211572138
v1p7p5,Observed,0.95,2014,TP,CT,19,1108.15136542,748.2130701875001,1529.1668348795,780160.4,618283.9145000002,946688.7492499999,1.420414783190739,1.1346213804220782,1.7091219247808684
v1p7p5,Observed,0.95,2014,TP,MT,5,5.5340628,0,16.6021884,6588.17,0,19764.510000000002,0.84,0.8399999999999999,0.84
v1p7p5,Observed,0.95,2014,TP,ST,18,371.32309974,197.54243050400004,565.5377183514998,343538.75,241317.242,449982.95174999995,1.0808769017760005,0.7317150357155823,1.4401825974287568
v1p7p5,Observed,0.95,2015,TP,CT,12,341.62265682,192.02774125475,500.38705427525,264741.86,195640.081,331226.61475,1.2903990960099774,0.8757295250565591,1.7521470085006339
v1p7p5,Observed,0.95,2015,TP,MT,12,48.56972512,28.83354878975,68.90636086349998,131198.49,85653.17550000001,186092.3655,0.37020033629960225,0.291862090538101,0.4646387222253706
v1p7p5,Observed,0.95,2015,TP,ST,12,27.75253792,15.614443211500001,38.995694906249994,115188.17,74646.491,154732.4435,0.240932188782928,0.1966442447689439,0.2869477158894355
v1p7p5,Observed,0.95,2016,TP,CT,8,4.50794256,1.45856331825,9.211481022249993,306451.77999999997,246833.68899999998,373563.23,0.014710120332797548,0.00432725542559256,0.035112270822922
v1p7p5,Observed,0.95,2016,TP,MT,8,2.29707928,0.32118188750000065,5.3344997805,41283,27086.99,58055.32974999999,0.055642256618947276,0.0072423815928668355,0.14165815830599449
