Method,Scenario,Year,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws
Bayes,model_only,2019,NO2,ST,0.008549841425682143,0.003429941952484885,-0.11528344248913999,0.1570705477048746,1500
Bayes,model_only,2019,NO3,CT,0.7066297821874149,0.7031598955334872,0.44172432972555165,1.0045317473548023,1500
Bayes,model_only,2019,NO3,MT,0.7198424406574923,0.7155325628257724,0.4494839468640528,1.0213851227954973,1500
Bayes,model_only,2019,NO3,ST,0.7066297821874149,0.7031598955334872,0.44172432972555165,1.0045317473548023,1500
Bayes,model_only,2019,OP,CT,0.0345903156554601,0.03421935545968706,0.01452268246399625,0.05782043234243574,1500
Bayes,model_only,2019,OP,MT,0.0352169152907338,0.034963538510669606,0.014813218934697218,0.05847951658632697,1500
Bayes,model_only,2019,OP,ST,0.0345903156554601,0.03421935545968706,0.01452268246399625,0.05782043234243574,1500
Bayes,model_only,2019,Se,CT,0.000634888631182889,0.0006231227651357173,0.00029262899904808104,0.0009671810400650937,1500
Bayes,model_only,2019,Se,MT,0.000632478639284123,0.000621265432828848,0.0002927647520210548,0.0009621404434917059,1500
Bayes,model_only,2019,Se,ST,0.000634888631182889,0.0006231227651357173,0.00029262899904808104,0.0009671810400650937,1500
Bayes,model_only,2019,TDS,CT,87.53797964021237,87.02896060426276,54.183756496951425,121.9027047170556,1500
Bayes,model_only,2019,TDS,MT,87.62113896473826,87.54195761608537,54.345287413124396,122.96853572905157,1500
Bayes,model_only,2019,TDS,ST,87.53797964021237,87.02896060426276,54.183756496951425,121.9027047170556,1500
Bayes,model_only,2019,TKN,CT,0.38168544591883974,0.3782981531500661,0.09025698421701368,0.6778943740000043,1500
Bayes,model_only,2019,TKN,MT,0.3794760121812001,0.3742289855412399,0.09282076972383041,0.6663765333773531,1500
Bayes,model_only,2019,TKN,ST,0.38168544591883974,0.3782981531500661,0.09025698421701368,0.6778943740000043,1500
Bayes,model_only,2019,TN,CT,0.7501105739657694,0.7363601818876453,0.02688598657819586,1.5678132073681696,1500
Bayes,model_only,2019,TN,MT,0.7465676845222845,0.7281134118394146,0.02652676159105786,1.5605607572648434,1500
Bayes,model_only,2019,TN,ST,0.7501105739657694,0.7363601818876453,0.02688598657819586,1.5678132073681696,1500
Bayes,model_only,2019,TP,CT,0.07804098731165596,0.06564568420133451,-0.1050855016921385,0.31723868967316093,1500
Bayes,model_only,2019,TP,MT,0.08321444147423161,0.07020767829138513,-0.1011814724830322,0.32052241582271634,1500
Bayes,model_only,2019,TP,ST,0.07804098731165596,0.06564568420133451,-0.1050855016921385,0.31723868967316093,1500
Bayes,model_only,2019,TSS,CT,174.84321773337936,168.85385598647983,20.176123713465323,349.42452311317254,1500
Bayes,model_only,2019,TSS,MT,164.12008923495713,156.76608742242354,13.437356835427357,341.68556290230424,1500
Bayes,model_only,2019,TSS,ST,174.84321773337936,168.85385598647983,20.176123713465323,349.42452311317254,1500
